product_id,category,product_category,brand,price,product_price,margin,product_margin,inventory,rating,review_count,price_elasticity_score,image_feature_vector,text_description
P000011,Home,Home,LumaHome,156.14,156.14,0.492,0.492,455,3.98,152,1.094,"[0.1130,0.4713,0.0303,0.2156,-0.6865,-0.0163,-0.2823,-0.4081]","LumaHome home item with modern design, 152 reviews, and 4.0 average rating."
P000012,Grocery,Grocery,NorthPantry,13.35,13.35,0.453,0.453,726,3.94,109,1.039,"[0.5191,0.2785,0.6923,-0.0800,-0.3602,-0.1159,0.1255,0.0914]","NorthPantry grocery item with pantry design, 109 reviews, and 3.9 average rating."
P000013,Beauty,Beauty,Bloomskin,29.05,29.05,0.398,0.398,667,3.78,911,0.652,"[-0.2011,0.1074,0.4105,-0.2482,-0.2227,-0.7310,-0.0554,-0.3617]","Bloomskin beauty item with hydrating design, 911 reviews, and 3.8 average rating."
P000014,Sports,Sports,Fieldstone,65.15,65.15,0.47,0.47,344,3.52,257,1.874,"[-0.2931,-0.2497,0.4183,0.6615,-0.2668,-0.0839,0.0778,0.3936]","Fieldstone sports item with breathable design, 257 reviews, and 3.5 average rating."
P000015,Fashion,Fashion,Arden,41.47,41.47,0.442,0.442,416,4.09,348,1.069,"[-0.1968,0.1715,-0.4103,0.3484,0.7482,0.1148,0.2599,0.0393]","Arden fashion item with premium cotton design, 348 reviews, and 4.1 average rating."
P000016,Home,Home,Hearthly,95.0,95.0,0.405,0.405,767,4.83,256,1.281,"[-0.2759,-0.4022,0.4307,0.0950,0.1736,-0.6308,0.3354,0.1643]","Hearthly home item with compact design, 256 reviews, and 4.8 average rating."
P000017,Fashion,Fashion,UrbanThread,39.76,39.76,0.401,0.401,745,4.11,280,1.202,"[0.4203,-0.7330,-0.0676,0.0504,0.0845,-0.1062,-0.5017,0.0937]","UrbanThread fashion item with classic design, 280 reviews, and 4.1 average rating."
P000018,Electronics,Electronics,Auralux,611.7,611.7,0.449,0.449,338,3.7,222,1.036,"[0.4006,0.1796,0.5339,0.3629,0.1353,0.5374,0.1353,0.2552]","Auralux electronics item with smart design, 222 reviews, and 3.7 average rating."
P000019,Sports,Sports,Fieldstone,70.52,70.52,0.324,0.324,458,4.49,464,1.174,"[0.3722,0.2386,0.5786,0.2322,-0.4996,-0.0213,-0.3724,-0.1647]","Fieldstone sports item with recovery design, 464 reviews, and 4.5 average rating."
P000020,Beauty,Beauty,Aster,70.21,70.21,0.324,0.324,706,3.63,139,0.922,"[0.0990,0.3666,0.1931,-0.7270,0.0966,0.0229,0.1313,0.5128]","Aster beauty item with brightening design, 139 reviews, and 3.6 average rating."
P000021,Sports,Sports,StrideIQ,38.68,38.68,0.427,0.427,659,4.31,88,0.956,"[0.4884,0.6412,0.1398,0.1407,0.1622,-0.5181,-0.0885,-0.0915]","StrideIQ sports item with outdoor design, 88 reviews, and 4.3 average rating."
P000022,Home,Home,NestForm,108.23,108.23,0.295,0.295,843,3.83,252,0.87,"[0.0650,0.2713,0.0037,0.4270,0.2753,0.2705,0.1780,0.7478]","NestForm home item with minimal design, 252 reviews, and 3.8 average rating."
P000023,Grocery,Grocery,HarvestHill,16.79,16.79,0.508,0.508,653,4.71,205,0.724,"[-0.4812,-0.2386,0.1321,0.1575,0.0830,-0.4245,-0.6942,0.0163]","HarvestHill grocery item with organic design, 205 reviews, and 4.7 average rating."
P000024,Grocery,Grocery,KindTable,15.33,15.33,0.436,0.436,755,4.25,295,1.33,"[-0.5324,-0.1357,0.1487,0.6199,-0.2975,0.3937,-0.2008,-0.0888]","KindTable grocery item with fresh design, 295 reviews, and 4.2 average rating."
P000025,Sports,Sports,Fieldstone,103.41,103.41,0.276,0.276,606,3.86,96,1.053,"[0.0815,0.4489,0.5471,-0.0285,0.5578,0.0380,-0.3451,-0.2450]","Fieldstone sports item with recovery design, 96 reviews, and 3.9 average rating."
P000026,Electronics,Electronics,PixelForge,205.52,205.52,0.351,0.351,183,3.56,423,1.284,"[-0.3842,0.1753,-0.0484,-0.6760,0.3428,-0.2234,-0.1971,-0.3950]","PixelForge electronics item with wireless design, 423 reviews, and 3.6 average rating."
P000027,Fashion,Fashion,LinenLane,46.43,46.43,0.365,0.365,492,4.72,328,0.648,"[0.3233,-0.1004,0.3376,0.1161,-0.0397,0.1057,0.5910,0.6292]","LinenLane fashion item with streetwear design, 328 reviews, and 4.7 average rating."
P000028,Electronics,Electronics,VoltEdge,348.12,348.12,0.466,0.466,258,4.14,157,1.257,"[-0.2224,-0.4242,-0.5532,-0.2982,-0.1224,-0.0782,0.5170,0.2952]","VoltEdge electronics item with gaming design, 157 reviews, and 4.1 average rating."
P000029,Electronics,Electronics,VoltEdge,245.14,245.14,0.347,0.347,230,4.42,229,1.512,"[-0.3523,0.0020,0.8015,0.0688,0.4422,0.0282,0.1792,-0.0175]","VoltEdge electronics item with portable design, 229 reviews, and 4.4 average rating."
P000030,Beauty,Beauty,Aster,39.64,39.64,0.414,0.414,722,4.41,157,1.376,"[0.4417,0.1492,-0.1165,0.1848,-0.1256,0.3807,-0.7453,-0.1366]","Aster beauty item with clean formula design, 157 reviews, and 4.4 average rating."
P000031,Sports,Sports,MotionWorks,39.64,39.64,0.489,0.489,463,3.5,443,0.965,"[0.8015,0.1440,-0.1853,0.1540,-0.5169,-0.0985,0.0329,-0.0285]","MotionWorks sports item with outdoor design, 443 reviews, and 3.5 average rating."
P000032,Grocery,Grocery,DailyCrop,23.55,23.55,0.433,0.433,478,4.85,175,0.82,"[-0.3361,0.5057,-0.0724,0.5315,-0.1675,0.5509,0.0498,0.0978]","DailyCrop grocery item with fresh design, 175 reviews, and 4.9 average rating."
P000033,Home,Home,Civica,161.72,161.72,0.305,0.305,182,3.48,206,0.967,"[0.3407,-0.7106,-0.2334,-0.5005,-0.2452,0.0735,-0.0532,-0.0752]","Civica home item with minimal design, 206 reviews, and 3.5 average rating."
P000034,Home,Home,NestForm,89.99,89.99,0.299,0.299,63,4.32,402,1.339,"[0.1029,0.7062,-0.0302,-0.1066,-0.2615,-0.3582,-0.4319,-0.3084]","NestForm home item with compact design, 402 reviews, and 4.3 average rating."
P000035,Fashion,Fashion,Arden,56.62,56.62,0.384,0.384,242,4.47,166,0.928,"[0.2345,0.0804,-0.6193,-0.0291,0.1121,-0.3847,0.0812,-0.6221]","Arden fashion item with classic design, 166 reviews, and 4.5 average rating."
P000036,Electronics,Electronics,Northstar,535.53,535.53,0.36,0.36,436,3.65,335,1.05,"[-0.3111,0.2073,0.5795,-0.3414,-0.2430,0.0683,0.4674,-0.3546]","Northstar electronics item with gaming design, 335 reviews, and 3.7 average rating."
P000037,Electronics,Electronics,PixelForge,370.04,370.04,0.248,0.248,789,3.93,113,1.232,"[-0.6686,0.1941,-0.2175,0.4801,-0.2364,-0.2398,0.2038,0.2874]","PixelForge electronics item with high resolution design, 113 reviews, and 3.9 average rating."
P000038,Fashion,Fashion,Arden,67.55,67.55,0.423,0.423,342,3.54,137,1.302,"[-0.3426,-0.5449,0.3032,0.1026,-0.2608,0.6164,-0.1872,0.0136]","Arden fashion item with premium cotton design, 137 reviews, and 3.5 average rating."
P000039,Home,Home,NestForm,104.1,104.1,0.418,0.418,238,4.74,195,0.33,"[0.4236,0.6703,-0.1066,-0.5093,-0.0816,-0.0753,-0.0499,-0.2928]","NestForm home item with compact design, 195 reviews, and 4.7 average rating."
P000040,Beauty,Beauty,Glowry,51.15,51.15,0.26,0.26,315,4.22,400,1.035,"[-0.0454,0.1965,-0.5528,0.0525,-0.1247,0.5903,-0.0556,0.5328]","Glowry beauty item with daily care design, 400 reviews, and 4.2 average rating."
