review_id,product_id,rating,review_sentiment,review_text
R000028-00,P000028,4.9,neutral,neutral synthetic review for VoltEdge Electronics.
R000028-01,P000028,3.2,positive,positive synthetic review for VoltEdge Electronics.
R000028-02,P000028,4.4,positive,positive synthetic review for VoltEdge Electronics.
R000029-00,P000029,4.1,negative,negative synthetic review for VoltEdge Electronics.
R000029-01,P000029,4.4,positive,positive synthetic review for VoltEdge Electronics.
R000030-00,P000030,5.0,negative,negative synthetic review for Aster Beauty.
R000031-00,P000031,2.8,positive,positive synthetic review for MotionWorks Sports.
R000031-01,P000031,3.7,positive,positive synthetic review for MotionWorks Sports.
R000032-00,P000032,5.0,positive,positive synthetic review for DailyCrop Grocery.
R000033-00,P000033,3.5,positive,positive synthetic review for Civica Home.
R000033-01,P000033,3.5,positive,positive synthetic review for Civica Home.
R000034-00,P000034,4.1,positive,positive synthetic review for NestForm Home.
R000034-01,P000034,4.6,positive,positive synthetic review for NestForm Home.
R000035-00,P000035,4.8,neutral,neutral synthetic review for Arden Fashion.
R000035-01,P000035,5.0,positive,positive synthetic review for Arden Fashion.
R000035-02,P000035,4.7,positive,positive synthetic review for Arden Fashion.
R000036-00,P000036,4.8,positive,positive synthetic review for Northstar Electronics.
R000036-01,P000036,4.1,positive,positive synthetic review for Northstar Electronics.
R000037-00,P000037,3.9,positive,positive synthetic review for PixelForge Electronics.
R000037-01,P000037,4.4,negative,negative synthetic review for PixelForge Electronics.
R000037-02,P000037,3.1,positive,positive synthetic review for PixelForge Electronics.
R000037-03,P000037,4.9,positive,positive synthetic review for PixelForge Electronics.
R000038-00,P000038,4.0,positive,positive synthetic review for Arden Fashion.
R000039-00,P000039,5.0,positive,positive synthetic review for NestForm Home.
R000040-00,P000040,3.5,positive,positive synthetic review for Glowry Beauty.
R000040-01,P000040,4.9,neutral,neutral synthetic review for Glowry Beauty.
R000040-02,P000040,4.1,positive,positive synthetic review for Glowry Beauty.
